,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,140,,117,105,,98,112,,126,112,98,105,98,126,126,112,98,98,119,128,105,98,98,119,98,112,105,91,112,119,119,119,84,133,126,91
1973,,,,,,,,,,133,,,,,,,,,,,,,,,140,133,,,,133,147,,,154,154,
1974,,134,,120,127,105,120,127,,113,112,127,127,,99,112,112,155,,113,113,113,,,105,120,113,141,148,119,112,106,148,133,91,148
1975,,,,126,,126,,,,154,133,,,,126,133,,,,140,133,140,154,,133,140,140,168,,133,126,140,154,105,140,
1976,147,147,154,119,133,147,133,147,147,126,140,126,133,168,126,133,126,133,175,119,126,119,119,156,133,126,126,119,161,126,147,133,133,147,147,140
1977,,,,,,,,,,175,154,140,,,147,140,140,140,,147,154,147,126,147,162,147,169,140,133,175,175,175,126,168,168,147
1978,168,147,154,133,133,140,119,133,154,119,105,105,112,140,119,105,105,119,126,98,119,119,105,112,133,105,105,98,105,133,112,105,98,140,119,132
1979,168,182,140,126,154,126,140,140,133,161,147,140,140,168,126,147,140,140,175,126,140,133,133,189,126,126,140,133,182,147,140,126,133,126,119,119
1980,175,182,175,126,126,126,133,133,189,119,126,147,133,189,133,147,140,154,206,140,147,133,140,154,140,147,126,140,154,140,140,119,154,126,147,140
1981,164,182,161,154,147,126,147,140,147,161,147,140,140,126,168,140,140,140,154,140,154,140,140,140,168,161,154,140,147,205,168,175,147,191,175,140
1982,119,168,140,126,133,119,112,126,147,126,126,126,133,161,105,126,133,147,162,126,126,133,147,147,126,133,126,140,140,126,126,126,126,133,133,126
1983,147,168,154,140,133,140,126,133,161,154,119,133,133,189,133,126,126,126,161,126,126,126,126,175,112,126,119,133,161,126,119,119,126,126,133,133
1984,144,151,151,133,112,105,112,119,119,172,112,112,112,172,126,112,112,144,182,112,112,126,133,184,119,105,119,126,184,112,119,133,158,105,151,126
1985,140,140,,119,119,105,119,117,154,105,98,126,147,204,105,119,126,126,168,119,119,119,147,158,119,112,126,147,168,126,126,126,140,133,126,126
1986,140,161,154,119,119,133,119,119,133,126,133,119,119,147,112,112,119,119,140,117,133,112,126,119,147,154,119,119,119,154,154,140,140,140,133,118
1987,168,,,112,140,140,,,,140,126,126,,,112,126,126,126,,112,119,126,112,126,161,112,119,126,112,154,119,126,112,154,133,126
1988,189,175,168,126,147,147,140,147,154,161,119,140,154,189,140,119,140,147,182,105,133,133,154,154,133,126,119,154,182,126,133,133,175,154,161,126
1989,154,175,175,126,119,133,126,147,133,140,133,140,119,119,147,140,140,154,161,140,133,140,140,140,168,126,133,140,126,168,154,133,133,154,140,119
1990,175,168,154,161,147,126,112,140,119,161,147,140,126,140,140,147,140,126,133,168,131,140,133,133,168,168,161,131,126,174,168,161,140,147,126,105
1991,168,182,168,154,140,126,154,140,154,154,126,133,147,168,133,133,140,140,147,126,112,126,147,140,126,126,126,133,140,126,133,119,126,161,126,147
1992,154,133,168,105,105,91,91,98,140,119,98,91,112,133,91,98,91,105,133,126,105,98,105,112,126,126,112,112,154,147,154,119,112,154,140,147
1993,140,154,168,126,147,126,126,133,140,98,140,126,133,154,133,119,133,154,184,126,119,133,140,161,126,133,126,119,177,119,126,126,119,119,126,119
1994,,,,,,,,,,,,,,,147,126,126,,,147,133,119,,,154,147,133,133,,210,154,168,175,175,210,154
1995,168,161,161,119,147,126,126,147,140,161,126,126,140,154,140,140,147,147,168,168,147,133,140,154,161,147,147,154,154,175,154,154,154,140,154,140
1996,168,182,161,147,140,154,126,147,140,161,119,126,147,161,133,133,133,140,161,147,147,133,140,154,187,147,147,133,147,180,175,154,140,200,180,161
1997,,,,,,,,,,,,,,,,,,,,,,,,,154,,,,,161,161,161,161,161,161,154
1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175,
1999,,,,,,,,,,,,,,,161,,,,,,,,,,,,,,,140,140,,174,140,161,154
2000,,,,144,,98,,,,119,,,,,137,130,,,,147,151,144,151,200,140,147,158,161,178,151,133,147,165,140,165,
2001,,189,,168,,168,175,175,,,175,168,161,182,,,168,168,189,,,,,,161,,,147,,133,161,140,154,161,140,141
2002,,,,,,,119,,,147,105,112,,,,,,,,,,,,,168,,,,,168,,,,,161,
2003,168,197,,154,154,147,168,147,,169,161,161,147,,154,154,140,133,140,183,176,154,133,140,183,169,161,140,140,193,162,161,161,176,200,161
2004,119,198,140,98,119,98,119,119,112,133,119,126,126,161,133,126,112,126,140,147,112,105,119,154,174,147,126,126,154,167,154,126,161,167,160,119
2005,175,147,201,180,168,147,161,175,182,154,140,154,147,182,147,140,154,161,175,133,154,154,161,161,154,154,147,147,175,147,154,154,161,154,211,154
2006,161,161,161,140,161,154,140,161,161,217,154,168,168,182,154,161,168,168,231,161,161,168,168,182,161,161,168,175,203,161,168,161,189,189,203,154
2007,161,175,175,154,154,147,161,161,154,217,147,154,147,196,161,154,154,154,182,210,154,147,147,175,154,154,133,140,154,182,161,147,182,175,154,168
